variante,canonico,codigo,classe,origem,confianca_mapeamento,risco_palavra_comum,ocorrencias,status,confianca,arquivo,evidencia
Ened,Enéade de Heliópolis,RC-627,stt,etimologia,alta,nao,0,verificado,média,RC-627-eneade-de-heliopolis.md,STT: Ened.
Enenk,Hermes Trismegisto,RC-463,stt,prosa,baixa,nao,0,verificado,alta,RC-463-hermes-trismegisto-ningishzidda-thoth-quetzalcoatl.md," que viria a ser conhecido mais tarde na cultura egípcia como Tot.»); STT «Enenk» (= Enki; RC-460 Marduk = Ra, filho de E"
Enk,Genoma da Liberdade,RC-619,stt,prosa,baixa,nao,0,em análise,baixa,RC-619-genoma-da-liberdade.md,"Pandora fez o movimento de consciência e quando Enki, o ser Anunnaki [STT 'Enk, o ser Anonak'], fez manipulações com outros humanos e"
entra nesta ficha,CFD (Código Fonte Definidor),RC-040,stt,etimologia,alta,nao,0,verificado,alta,RC-040-cfd-codigo-fonte-definidor.md,"STT entra nesta ficha, e a frase que associa o"
era da solidão,Era da Solidão de Javé (500 Milhões de Anos),RC-808,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-808-era-da-solidao-de-jave.md,"- **Grafia preferida:** Era da Solidão de Javé (500 Milhões de Anos) - **Variações STT capturadas:** ""era da solidão"", ""Japés"", ""Javé solidão"" - **Idioma de origem:** Português"
era do colapso,Era do Colapso do Caos Organizado,RC-827,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-827-era-do-colapso-do-caos-organizado.md,"- **Grafia preferida:** Era do Colapso do Caos Organizado - **Variações STT capturadas:** ""era do colapso"", ""era do conhecimento"", ""colapso do caos organizado"", ""ilhas de negentrop"
era do conhecimento,Era do Colapso do Caos Organizado,RC-827,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-827-era-do-colapso-do-caos-organizado.md,"- **Grafia preferida:** Era do Colapso do Caos Organizado - **Variações STT capturadas:** ""era do colapso"", ""era do conhecimento"", ""colapso do caos organizado"", ""ilhas de negentrop"
era SAS,Era Sapiens,RC-238,stt,prosa,baixa,nao,0,em análise,baixa,RC-238-era-sapiens.md,[Começa a Era Sapiens] (U0014)** «Começa a era SAS.» — a Era Sapiens (STT 'era SAS') começou depois de dois grandes catacli
Era Sápens,Era Sapiens,RC-238,stt,prosa,baixa,nao,0,em análise,baixa,RC-238-era-sapiens.md,"-31"" +++ # Era Sapiens — RC-238 ## Definição Sintética Era Sapiens (STT 'Era Sápens'): o livro (e a era) sobre a interação d"
escolas religiosas impositivas,Judaísmo como Destruidor do Mito de Pandora/Lilith,RC-796,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-796-judaismo-como-destruidor-do-mito.md,"- **Grafia preferida:** Judaísmo como Destruidor do Mito de Pandora/Lilith - **Variações STT capturadas:** ""judaísmo"", ""escolas religiosas impositivas"", ""religiões impositivas"" - *"
espalharam o mal,Mudança de Estratégia das Trevas (Centralizar → Espalhar),RC-798,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-798-mudanca-de-estrategia-das-trevas.md,"- **Grafia preferida:** Mudança de Estratégia das Trevas (Centralizar → Espalhar) - **Variações STT capturadas:** ""mudança de estratégia"", ""espalharam o mal"", ""centralizar o poder"""
especiação do DNA,Especiação a partir do DNA Humano,RC-778,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-778-especiacao-a-partir-do-dna-humano.md,"- **Grafia preferida:** Especiação a partir do DNA Humano - **Variações STT capturadas:** ""especiação"", ""especiação do DNA"", ""especiação humana cósmica"" (sinônimos contextuais) - *"
"especiação humana cósmica"" (sinônimos contextuais",Especiação a partir do DNA Humano,RC-778,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-778-especiacao-a-partir-do-dna-humano.md,"- **Grafia preferida:** Especiação a partir do DNA Humano - **Variações STT capturadas:** ""especiação"", ""especiação do DNA"", ""especiação humana cósmica"" (sinônimos contextuais) - *"
espiritismo,Espiritismo com Germe da Poluição Católica/Protestante,RC-805,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-805-espiritismo-com-germe-da-poluicao-catolica.md,"- **Grafia preferida:** Espiritismo com Germe da Poluição Católica/Protestante - **Variações STT capturadas:** ""espiritismo"", ""germe da poluição"", ""soldados espíritas"", ""ex-católic"
esta ficha (RC-801) é a umbrella conceitual da linhagem,Saibaba como Precursor de Jesus,RC-801,stt,etimologia,referencia_oral,nao,0,em análise,baixa,RC-801-saibaba-como-precursor-de-jesus.md,"STT). A partir de 03/09/2026, cada figura tem **ficha própria** (RC-927/928/929); esta ficha (RC-801) é a umbrella conceitual da linhagem."
Estivara,Ishvara (Isuara — Retrato de Prabrajna Antes da Queda),RC-691,stt,prosa,referencia_oral,nao,0,verificado,média,RC-691-ishvara-isuara---retrato-de-prabrajna-antes-da-queda.md,"ar é o ser com o sati nadana gana se um dia isso existir.» — Ishvara (STT ""ovvar/Estivara"") = o Javé/Brahma reconstruído com o Sat"
estonas,Espelho da Herança Espiritual no Epigenoma,RC-543,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-543-espelho-da-heranca-espiritual-no-epigenoma.md,"ipo de célula""; ""em cada célula do corpo da gente tem lá as HISTONAS [STT 'estonas'], ou seja, proteínas e as duplas hélice"
ex-católicos,Espiritismo com Germe da Poluição Católica/Protestante,RC-805,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-805-espiritismo-com-germe-da-poluicao-catolica.md,"- **Grafia preferida:** Espiritismo com Germe da Poluição Católica/Protestante - **Variações STT capturadas:** ""espiritismo"", ""germe da poluição"", ""soldados espíritas"", ""ex-católic"
ex-protestantes,Espiritismo com Germe da Poluição Católica/Protestante,RC-805,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-805-espiritismo-com-germe-da-poluicao-catolica.md,"- **Grafia preferida:** Espiritismo com Germe da Poluição Católica/Protestante - **Variações STT capturadas:** ""espiritismo"", ""germe da poluição"", ""soldados espíritas"", ""ex-católic"
Exildo,Javé como Caos Personificado,RC-782,stt,prosa,baixa,nao,0,verificado,média,RC-782-jave-como-caos-personificado.md,"fusão com a Teogonia acadêmica ou com mitologia comparada. - A grafia STT ""Exildo"" deve ser canonizada para ""Hesíodo"" (a a"
fa vinagem,Pashvnaj,RC-455,stt,etimologia,alta,nao,0,verificado,alta,RC-455-pashvnaj-especie-de-43-seres-do-genero-adhy.md,"Variações de STT: vinage, fa vinagem, pasivagem. Grafia ainda deve ser conferida em áudio/obra primária."
faça sem esperar receber,Conceito Abaiano (Fazer Sem Esperar Receber),RC-793,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-793-conceito-abaiano.md,"- **Grafia preferida:** Conceito Abaiano (Fazer Sem Esperar Receber) - **Variações STT capturadas:** ""conceito abaiano"", ""viva sem se perguntar"", ""faça sem esperar receber"" - **Idi"
fenvães,Fenvans,RC-064,stt,prosa,baixa,nao,0,verificado,alta,RC-064-fenvans.md,"am aqui, que ficava o tempo todo olhando pro universo.» — os Fenvans (STT ""cvães/fvães/fenvães/senvães""), residentes no Ginnungagap, idealizava"
ferrando feminino,"Patriarcado desde Pandora (Origem no Feminino, Dominação pelo Masculin",RC-818,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-818-patriarcado-desde-pandora.md,"- **Grafia preferida:** Patriarcado desde Pandora (Origem no Feminino, Dominação pelo Masculino) - **Variações STT capturadas:** ""patriarcalismo"", ""patriarcado"", ""ferrando feminino"
final de genética,Humanos como Cobaias dos Deuses,RC-802,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-802-humanos-como-cobaias-dos-deuses.md,"- **Grafia preferida:** Humanos como Cobaias dos Deuses - **Variações STT capturadas:** ""cobaias"", ""cobaias humanas"", ""final de genética"" - **Idioma de origem:** Português"
fissão,Fissão em Dois Universos (Matéria + Antimatéria),RC-811,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-811-fissao-em-dois-universos.md,"- **Grafia preferida:** Fissão em Dois Universos (Matéria + Antimatéria) - **Variações STT capturadas:** ""universo paralelo"", ""matéria e antimatéria"", ""fissão"" - **Idioma de origem"
fofocas do circuito ao qual o espírito que me anima pertence,Fofocas cósmicas,RC-191,stt,etimologia,alta,nao,0,em análise,baixa,RC-191-fofocas-cosmicas.md,"STT entregou para *fofoca*; preservar → CHANCELA 2026-09-06 · F039-L3: AGUARDA-ÁUDIO (STT preservado como falado) — ver nota], «fofocas do circuito ao qual o espírito que me anima "
fogo que não se observa mais,Fogo que se Apaga (Fogo de Prometeu Hoje),RC-792,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-792-fogo-que-se-apaga.md,"- **Grafia preferida:** Fogo que se Apaga (Fogo de Prometeu Hoje) - **Variações STT capturadas:** ""fogo"", ""fogo que não se observa mais"", ""fogo que se apagou"", ""acender o fogo"" - *"
fogo que se apagou,Fogo que se Apaga (Fogo de Prometeu Hoje),RC-792,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-792-fogo-que-se-apaga.md,"- **Grafia preferida:** Fogo que se Apaga (Fogo de Prometeu Hoje) - **Variações STT capturadas:** ""fogo"", ""fogo que não se observa mais"", ""fogo que se apagou"", ""acender o fogo"" - *"
forno de Alamaior,Sophia,RC-009,stt,prosa,baixa,nao,0,verificado,alta,RC-009-sophia-cristo-cosmico.md,"artir deles, gerou Sophia, sua contraparte no universo material""; **o STT ""forno de Alamaior"" (P2021-12-04, U0621) foi confirmado com"
Fox P2,Genoma da Liberdade,RC-619,stt,prosa,baixa,nao,0,em análise,baixa,RC-619-genoma-da-liberdade.md,"lações com outros humanos e surgiu a linguagem através do gene FOXP2 [STT 'Fox P2']"" (U0633–U0635); ""a racionalidade human"
fragil,Moiras / Nornes / Súdices / Parcas (destino),RC-467,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-467-moiras-nornes-parcas-destino.md, nornes ou as moiras elas não conseguiam tecer direito... foi Frigga [STT 'Friga/fragil'] que ajudou esse processo para as norne
fragil,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,stt,prosa,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,STT — REVISAR → RESOLVIDO 10/09/2026 · F038-L5: Frigga — “foi Frigga [STT ‘Friga/fragil’]... Frigga na mitologia nórdica” (RC-46
Fria,Pacto Aesir-Vanir como Origem Nórdica da Ideia de Pandora,RC-816,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-816-pacto-aesir-vanir-origem-pandora.md,"- **Grafia preferida:** Pacto Aesir-Vanir como Origem Nórdica da Ideia de Pandora - **Variações STT capturadas:** ""Aesir"", ""Vanir"", ""Fria"", ""Kvasir"", ""tigela"", ""saliva"" - **Idioma "
Friga,Moiras / Nornes / Súdices / Parcas (destino),RC-467,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-467-moiras-nornes-parcas-destino.md, nornes ou as moiras elas não conseguiam tecer direito... foi Frigga [STT 'Friga/fragil'] que ajudou esse processo para as norne
Friga,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,stt,prosa,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,STT — REVISAR → RESOLVIDO 10/09/2026 · F038-L5: Frigga — “foi Frigga [STT ‘Friga/fragil’]... Frigga na mitologia nórdica” (RC-46
fvães,Fenvans,RC-064,stt,prosa,baixa,nao,0,verificado,alta,RC-064-fenvans.md,"am aqui, que ficava o tempo todo olhando pro universo.» — os Fenvans (STT ""cvães/fvães/fenvães/senvães""), residentes no Ginnungagap, idealizava"
fóssil,Jesus,RC-072,stt,prosa,baixa,nao,0,verificado,alta,RC-072-jesus.md,"ainda não se cumpriu, porque seu espírito não sabe acender o fósforo [STT “fóssil” — REVISAR → CHANCELA 10/09/2026 · F039-"
Gandares,Krishna (avatar de Vishnu/Shiva),RC-414,stt,prosa,baixa,nao,0,verificado,alta,RC-414-krishna-avatar-de-vishnu-shiva.md," - **Perda do corpo Adhyajna (RC-016):** maldição da rainha Gandhari (STT ""Gandares""; esposa de Dhritarashtra — STT ""Diriara"
Gautama,Budismo como Exceção (Sem Deus),RC-803,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-803-budismo-como-excecao.md,"- **Grafia preferida:** Budismo como Exceção (Sem Deus) - **Variações STT capturadas:** ""budismo"", ""Buda"", ""Gautama"", ""Grande Galan"" (= Buda Gautama) - **Idioma de origem:** Sânscr"
gentropia,Ponto de Luz Humano / Ilha de Negentropia,RC-725,stt,prosa,referencia_oral,nao,0,verificado,média,RC-725-ponto-de-luz-humano-ilha-de-negentropia.md,"ron e por aí vai.» — o corpo humano é uma ilha de negentropia (grafia STT ""gentropia""): enquanto vivo, o eu produz informaçõe"
germe da poluição,Espiritismo com Germe da Poluição Católica/Protestante,RC-805,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-805-espiritismo-com-germe-da-poluicao-catolica.md,"- **Grafia preferida:** Espiritismo com Germe da Poluição Católica/Protestante - **Variações STT capturadas:** ""espiritismo"", ""germe da poluição"", ""soldados espíritas"", ""ex-católic"
Gerço,A Rebelião dos Elétrons,RC-378,stt,prosa,baixa,nao,0,verificado,alta,RC-378-a-rebeliao-dos-eletrons.md,"00 E POUCOS MIL ANOS atrás**, contaminou a porrada de gente... gerou [STT 'Gerço' — gerou?] 100 desdobramentos, **surgiu "
Gimung Gagap,Ginnungagap (zona intercessória entre universos; prisão dos fenvans fr,RC-776,stt,prosa,referencia_oral,nao,0,em análise,baixa,RC-776-ginnungagap-zona-intercessoria-entre-universos.md,", que na mitologia nórdica é chamada de ginungagap.» — o Ginnungagap (STT ""ginungagap/Gimung Gagap"") como a interseção entre o universo mat"
Ginungagap,Ginnungagap (zona intercessória entre universos; prisão dos fenvans fr,RC-776,stt,prosa,referencia_oral,nao,0,em análise,baixa,RC-776-ginnungagap-zona-intercessoria-entre-universos.md,"es]** ""essa região aqui que na mitologia nórdica chama-se GINUNGAGAP [STT 'Ginungagap']"": a 1ª vibração (o plasma); a 2ª (o ""p"
GN Fox P2,Foz Côa / FOXP2 (símbolos),RC-400,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-400-foz-coa-foxp2-simbolos.md,"54: «000 anos, você não vai encontrar o GN Fox P2 no genoma deles.»); STT «GN Fox P2» (RC-400 Foz Côa/FOXP2). ### P2022-11-"
"Grande Galan"" (= Buda Gautama",Budismo como Exceção (Sem Deus),RC-803,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-803-budismo-como-excecao.md,"- **Grafia preferida:** Budismo como Exceção (Sem Deus) - **Variações STT capturadas:** ""budismo"", ""Buda"", ""Gautama"", ""Grande Galan"" (= Buda Gautama) - **Idioma de origem:** Sânscr"
greve de fome,Greve de Fome Genética (Suicídio como Quebra do Código Demoníaco),RC-824,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-824-greve-de-fome-genetica.md,"- **Grafia preferida:** Greve de Fome Genética (Suicídio como Quebra do Código Demoníaco) - **Variações STT capturadas:** ""greve de fome"", ""sata garra"", ""lona"", ""jejum"" - **Idioma "
gêmeos savãs,Sophia,RC-009,stt,prosa,baixa,nao,0,verificado,alta,RC-009-sophia-cristo-cosmico.md,"""OS ANJOS DE SOFIA E SOFIA ESTUDARAM LOUCAMENTE A SÍNDROME DE SAVANT [STT 'gêmeos savãs']... aquele filme RAIN MAN... esse ser h"
Hamana,Vaishnavismo (vixenuísmo — tradição hindu de adoração a Vishnu/Krishna,RC-757,stt,prosa,referencia_oral,nao,0,verificado,média,RC-757-vaishnavismo-vixenuismo-tradicao-hindu.md,"ístas, **DISPUTAM ATÉ HOJE FERRENHAMENTE OS EUS EXPANDIDOS DE [RAMA — STT 'Hamana'] E DE KRISHNA. Os seguidores de Vishnu "
Hana,Krishna (avatar de Vishnu/Shiva),RC-414,stt,prosa,baixa,nao,0,verificado,alta,RC-414-krishna-avatar-de-vishnu-shiva.md,"ando em Hana, isso fazia com que a dor fosse transferida paraa Hana"" (STT ""Hana"" [REVISAR — Brahma? → CHANCELA 2026-09-0"
"Havaingã"" (P2021-05-15",Awaylengan (consagrada por RC-771/ART-2025-08-01),RC-837,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-837-forno-de-awaylengan-forno-de-shiva.md,"- **Grafia preferida (canônica):** Awaylengan (consagrada por RC-771/ART-2025-08-01). - **Grau oral fundador (P2019-08-25):** ""**Awai Lengan**"" / ""Ailingan"" / ""Lingan"" / ""Hawai Lin"
Hawaien,Awayen (consagrada por RC-771/ART-2025-08-01),RC-836,stt,prosa,baixa,nao,0,verificado,média,RC-836-forno-de-awayen-forno-de-brahma-central-de-realidades.md," (RC-102), **Projeto Talm** (RC-091), **Val Tam** (RC-132). Grau oral STT ""aen/a Aen/Hawaien"" registrado como embrionário — **não ren"
Hawaiingan,Awaylengan (consagrada por RC-771/ART-2025-08-01),RC-837,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-837-forno-de-awaylengan-forno-de-shiva.md,"- **Grafia preferida (canônica):** Awaylengan (consagrada por RC-771/ART-2025-08-01). - **Grau oral fundador (P2019-08-25):** ""**Awai Lengan**"" / ""Ailingan"" / ""Lingan"" / ""Hawai Lin"
heroína,Pandora como Heroína Controversa,RC-780,stt,etimologia,alta,nao,0,verificado,média,RC-780-pandora-como-heroina-controversa.md,"- **Grafia preferida:** Pandora como Heroína Controversa - **Variações STT capturadas:** ""heroína"", ""heroína controversa"", ""Pandora destravou mas extrapolou"" - **Idioma de origem:*"
heroína controversa,Pandora como Heroína Controversa,RC-780,stt,etimologia,alta,nao,0,verificado,média,RC-780-pandora-como-heroina-controversa.md,"- **Grafia preferida:** Pandora como Heroína Controversa - **Variações STT capturadas:** ""heroína"", ""heroína controversa"", ""Pandora destravou mas extrapolou"" - **Idioma de origem:*"
Heru,Eru Ilúvatar (criador no Silmarillion),RC-843,stt,prosa,referencia_oral,nao,0,verificado,média,RC-843-eru-iluvatar-criador-no-silmarillion.md,ador no Silmarillion) — RC-843 ## Definição Sintética Eru Ilúvatar (STT 'Heru/éu iluvatar'): o criador no Silmarillion de Tolkien 
Hockma,Hochmah (2ª Sefirah — Sabedoria; = Sophia),RC-565,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-565-hochmah-2a-sefirah-sabedoria-sophia.md," é um epíteto, que significa personificação da sabedoria.» — Hochmah (STT ""Hockma/Rockma"") é epíteto (""personificação da sabedori"
homem com mulher da espécie sábia,Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sá,RC-814,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-814-eva-como-terceira-tentativa.md,"- **Grafia preferida:** Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sábia) - **Variações STT capturadas:** ""Eva"", ""alternativa homo"", ""homem com mulher da e"
hopes,Profecia Hopi da Estrela Azul,RC-591,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-591-profecia-hopi-da-estrela-azul.md,"STT: ropes, hopes."
horlog,Wyrd / Urd (Teia do Destino),RC-658,stt,prosa,referencia_oral,nao,0,verificado,média,RC-658-wyrd-urd-teia-do-destino.md,"ase da construção: a teia automatizou-se e saiu do controle de Orlog (STT ""horlog""), que se autoexilou numa loca especial "
humanos terracos,Prole sem Face (Humanos Modificáveis sem Face Definida),RC-819,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-819-prole-sem-face.md,"- **Grafia preferida:** Prole sem Face (Humanos Modificáveis sem Face Definida) - **Variações STT capturadas:** ""prole sem face"", ""progênie sem face"", ""humanos terracos"" - **Idioma"
héreo,Ereon,RC-496,stt,etimologia,alta,nao,0,verificado,média,RC-496-ereon-regiao-dos-cinco-archeons-da-espiritualidade-laboratorial.md,STT: héreo.
héreo,Archeons de Ereon,RC-596,stt,prosa,baixa,nao,0,verificado,média,RC-596-archeons-de-ereon.md,"minada região da espiritualidade laboratorial, que eu chamo de Ereon [STT 'héreo']"" (U0038–U0041); ""os chamados Archeons "
identidade de gênero,Pulsação dos Elétrons Como Afetividade Humana,RC-832,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-832-pulsacao-dos-eletrons-como-afetividade.md,"- **Grafia preferida:** Pulsação dos Elétrons Como Afetividade Humana - **Variações STT capturadas:** ""pulsação dos elétrons"", ""comportamento biológico"", ""afetividade"", ""identidade"
Iel Breasiel,e nenhuma hipótese etimológica é feita a partir do TXT,RC-018,stt,prosa,referencia_oral,nao,0,em análise,baixa,RC-018-alt-lam-gron.md,"do 115 da família V, 617 L e por aí vai.»); Ielreasil e Iel Breasiel (STT ""Iel Breasiel/El Breziel/Yel Brasil"") ""não se astralizaram, também não se su"
IG Brasil,Espelho da Herança Espiritual no Epigenoma,RC-543,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-543-espelho-da-heranca-espiritual-no-epigenoma.md,"ASE""; **A ORIGEM**: ""a 400 milhões de anos a turma lá de [Yggdrasil — STT 'IG Brasil', a decodificação O-4]... aprendeu a faz"
Igrazil,Ancoragem do Conglomerado Trimurtiano na Terra,RC-575,stt,prosa,referencia_oral,nao,0,verificado,média,RC-575-ancoragem-do-conglomerado-trimurtiano-na-terra.md,. do bairro de [entre]stício desses dois universos chamado Yggdrasil [STT 'Igrazil'] na mitologia nórdica fizeram essa mesm
Ih dos elétrons,Rebelião dos Elétrons (Além da Entropia),RC-826,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Grafia preferida:** Rebelião dos Elétrons (Além da Entropia) - **Variações STT capturadas:** ""rebelião dos elétrons"", ""rebelião dos antielétrons"", ""tribunal da Inquisição dos e"
ilhas de geetropia,Era do Colapso do Caos Organizado,RC-827,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-827-era-do-colapso-do-caos-organizado.md,"- **Grafia preferida:** Era do Colapso do Caos Organizado - **Variações STT capturadas:** ""era do colapso"", ""era do conhecimento"", ""colapso do caos organizado"", ""ilhas de negentrop"
ilhas de negentropia,Era do Colapso do Caos Organizado,RC-827,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-827-era-do-colapso-do-caos-organizado.md,"- **Grafia preferida:** Era do Colapso do Caos Organizado - **Variações STT capturadas:** ""era do colapso"", ""era do conhecimento"", ""colapso do caos organizado"", ""ilhas de negentrop"
Ina,Yima,RC-590,stt,etimologia,alta,nao,0,verificado,média,RC-590-yima.md,STT: Ina.
inconsciente dos elétrons,Memória dos Elétrons e Arcanos,RC-829,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-829-memoria-dos-eletrons-e-arcanos.md,"- **Grafia preferida:** Memória dos Elétrons e Arcanos - **Variações STT capturadas:** ""memória dos elétrons"", ""arcanos"", ""inconsciente dos elétrons"", ""memória dos antielétrons"", """
indiferença amorosa,Vechame Existencial (Sangue de Barata = Amor sem Submissão),RC-823,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-823-vechame-existencial.md,"- **Grafia preferida:** Vechame Existencial (Sangue de Barata = Amor sem Submissão) - **Variações STT capturadas:** ""vechame"", ""vechame existencial"", ""sangue de barata"", ""indiferen"
infecção,Código Genético como Marca da Herança Demoníaca,RC-825,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-825-codigo-genetico-como-marca-heranca-demoniaca.md,"- **Grafia preferida:** Código Genético como Marca da Herança Demoníaca - **Variações STT capturadas:** ""código genético"", ""sequências genéticas"", ""DNA"", ""infecção"", ""marcas"", ""ele"
inflexão cósmica,Momento Zero de Pandora,RC-779,stt,etimologia,alta,nao,0,verificado,média,RC-779-momento-zero-de-pandora.md,"- **Grafia preferida:** Momento Zero de Pandora - **Variações STT capturadas:** ""ponto zero"", ""inflexão cósmica"", ""destrave"" - **Idioma de origem:** Português + ""momento zero"" como"
insegurança,Pulsação dos Elétrons Como Afetividade Humana,RC-832,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-832-pulsacao-dos-eletrons-como-afetividade.md,"- **Grafia preferida:** Pulsação dos Elétrons Como Afetividade Humana - **Variações STT capturadas:** ""pulsação dos elétrons"", ""comportamento biológico"", ""afetividade"", ""identidade"
instrumentos de dominação,Estratégia dos Avatares,RC-797,stt,etimologia,alta,nao,0,verificado,média,RC-797-estrategia-dos-avatares.md,"- **Grafia preferida:** Estratégia dos Avatares - **Variações STT capturadas:** ""avatares"", ""agentes de dominação"", ""instrumentos de dominação"" - **Idioma de origem:** Sânscrito (अ"
Iraniakashipu,Ravana,RC-582,stt,prosa,baixa,nao,0,verificado,média,RC-582-ravana.md,"s pensando em Brahma — arrancava fórmulas de poder) e Hiranyakashipu (STT ""Iraniakashipu"") foram criados para enfraquecer Brahma "
Irra,Sequência Formativa da Racionalidade Humana,RC-785,stt,etimologia,referencia_oral,nao,0,em análise,baixa,RC-785-sequencia-formativa-da-racionalidade-humana.md,"- **Grafia preferida:** Sequência Formativa da Racionalidade Humana - **Variações STT capturadas:** ""Pandora, Lilif, Irra, Eva, Noreia"", ""cadeia de mulheres que produziram a racion"
ISAD,Adhy,RC-011,stt,prosa,baixa,nao,0,verificado,alta,RC-011-adhy.md,"s suas atribuições e de onde tenham que viver"" (B031). Na fonte oral, STT ""seres arte/Ados/Ades/ISAD/Zad"" (mapeamento de curadoria, RC-411). ## "
Jafé,Obatalá (correspondência de Javé em Ifá),RC-666,stt,prosa,referencia_oral,nao,0,em análise,baixa,RC-666-obatala-correspondencia-de-jave-em-ifa.md,"25):** ""Jafé ou Obatalá pediu a Orumilá para criar revelação de Ifá"" (STT ""Jafé/Jahé"") — renovação do Ifá como contramedida à"
Japés,Era da Solidão de Javé (500 Milhões de Anos),RC-808,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-808-era-da-solidao-de-jave.md,"- **Grafia preferida:** Era da Solidão de Javé (500 Milhões de Anos) - **Variações STT capturadas:** ""era da solidão"", ""Japés"", ""Javé solidão"" - **Idioma de origem:** Português"
Javé abelha rainha,Sistema Arcaico Mental (Javé Como Abelha Rainha),RC-828,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-828-sistema-arcaico-mental-jave-abelha-rainha.md,"- **Grafia preferida:** Sistema Arcaico Mental (Javé Como Abelha Rainha) - **Variações STT capturadas:** ""sistema arcaico"", ""sistema arcaico mental"", ""Javé abelha rainha"", ""clones "
Javé Brab,Ialdabaoth (= Javé/Samael/Saklas/Sabaoth),RC-482,stt,prosa,baixa,nao,0,verificado,média,RC-482-ialdabaoth-jave-samael-saklas-sabaoth.md, do mesmo ser caído (RC-482 Ialdabaoth = Javé/Samael/Saklas/Sabaoth); STT «Javé Brab» (= Brahma) — grafia canônica Brahma na 
Javé solidão,Era da Solidão de Javé (500 Milhões de Anos),RC-808,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-808-era-da-solidao-de-jave.md,"- **Grafia preferida:** Era da Solidão de Javé (500 Milhões de Anos) - **Variações STT capturadas:** ""era da solidão"", ""Japés"", ""Javé solidão"" - **Idioma de origem:** Português"
Javé é o caos,Javé como Caos Personificado,RC-782,stt,etimologia,alta,nao,0,verificado,média,RC-782-jave-como-caos-personificado.md,"- **Grafia preferida:** Javé como Caos Personificado - **Variações STT capturadas:** ""caos"", ""Javé é o caos"", ""caos personificado"" - **Idioma de origem:** Grego antigo (Χάος ""chaos"
jejum,Greve de Fome Genética (Suicídio como Quebra do Código Demoníaco),RC-824,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-824-greve-de-fome-genetica.md,"- **Grafia preferida:** Greve de Fome Genética (Suicídio como Quebra do Código Demoníaco) - **Variações STT capturadas:** ""greve de fome"", ""sata garra"", ""lona"", ""jejum"" - **Idioma "
